Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
28-Apr-17,355.3,357.9,350.5,355.5,2690876,954167364.8
02-May-17,355.5,355.95,346.7,347.6,2195524,766756927.1
03-May-17,348.1,350,343.85,346.35,2358454,818890363
04-May-17,346.7,351.4,343.7,346,1213003,421005298.8
05-May-17,346.45,349,343.15,344.75,1539822,531965483.5
08-May-17,344.75,355.25,344.3,351.3,2664070,935246768.7
09-May-17,350,351,343.6,345.25,2817923,977280815.7
10-May-17,336.5,380.4,336.5,372.75,24411321,8873508071
11-May-17,370,370.85,362.45,366,7263857,2658586706
12-May-17,362.25,370.3,361.5,365.1,3668575,1339027492
15-May-17,366,369.95,361.4,364.15,3724158,1359207084
16-May-17,365.9,377.65,365.45,374.35,5858910,2194394385
17-May-17,371.2,380.9,371.2,375.95,5265901,1984776063
18-May-17,373.7,381.6,368.6,370.75,3319974,1243592538
19-May-17,373,379.5,368.15,372.75,5431034,2029856413
22-May-17,374,378.6,371.4,372.55,2737412,1026155283
23-May-17,372.05,376.25,371,371.9,5814307,2166006489
24-May-17,368,373,365.65,368.35,6943292,2568788209
25-May-17,367,376.35,360.75,370.7,14179868,5258923086
26-May-17,369,380.45,368.5,373.6,2858455,1073339550
29-May-17,374.7,378.9,367.9,373.1,1996158,745326754
30-May-17,374.8,376.8,369.35,370.7,1958269,730666738
31-May-17,374,376.9,368.05,371.55,15400633,5721142915
01-Jun-17,370,373.4,365.85,366.9,2223961,818462128.2
02-Jun-17,370.8,381.35,369.8,373.25,5180320,1944516483
05-Jun-17,373.2,377.8,371.35,372.4,2332623,872743274.3
06-Jun-17,370,372.5,367,369,3304788,1218333117
07-Jun-17,373.45,375.25,371,372.8,3882379,1448305386
08-Jun-17,372.95,374.3,366.7,367.7,3477533,1282687982
09-Jun-17,367.75,371.1,366.25,367.8,2888545,1064470402
12-Jun-17,366.9,371.8,363.55,365.2,2219230,813037425.9
13-Jun-17,364,368.5,362.1,363.2,1133452,413553759.2
14-Jun-17,363.5,368.55,361.55,365.5,2107709,768157657.7
15-Jun-17,365.5,370.5,364.45,365.3,2544387,934183783.6
16-Jun-17,366,367.5,360.6,364.85,4472274,1622806903
19-Jun-17,364,368.75,363.25,367.5,1701672,623631903.8
20-Jun-17,368.75,370.85,365.75,366.6,2301754,845152198
21-Jun-17,366.4,368.2,364.5,367.3,2654891,973970713.1
22-Jun-17,367.75,368.95,362.5,366.2,6320827,2322561298
23-Jun-17,365.9,368.55,363.25,366.2,5120076,1871543898
27-Jun-17,365,375.9,365,371.45,3809540,1418409358
28-Jun-17,374.9,381.65,367.5,377.2,3794226,1415125622
29-Jun-17,377.75,386.35,377.7,382.45,4234116,1621181899
30-Jun-17,382.45,383.9,372.6,379.7,3269881,1234487809
03-Jul-17,381.45,384.15,376.8,382.05,1521063,580163410.8
04-Jul-17,383.9,383.9,378.1,379.3,1655289,628705844.6
05-Jul-17,377,378.5,373.35,376.3,2107618,791197606.7
06-Jul-17,376.55,382.85,373.95,381.3,2162556,821536733.2
07-Jul-17,384,387.55,383,385.9,4371065,1684069449
10-Jul-17,388.1,410.15,388,405.7,1901518,768356181.1
11-Jul-17,404.15,408.9,393.45,395.45,5565524,2235742085
12-Jul-17,397.8,402.3,394.45,397.1,2608465,1036278350
13-Jul-17,402.25,404.9,398.7,403.15,2594966,1041720310
14-Jul-17,405.05,408.6,402.2,407,2184660,887449965.7
17-Jul-17,409.5,410,405.95,408.45,2269037,925486749.4
18-Jul-17,406.2,430,406.2,408.3,3640766,1510069980
19-Jul-17,410,422.8,407.25,421.25,4600139,1926887530
20-Jul-17,422,424.5,416.1,419.8,3069917,1289837050
21-Jul-17,417,417,402.6,411.3,10944639,4475122187
24-Jul-17,407,422.5,406.05,420.05,4889853,2037207675
25-Jul-17,422.65,431.6,418.65,427.8,6430068,2736099985
26-Jul-17,430,430.05,421.75,426.25,5195656,2209636108
27-Jul-17,426,426.75,411.45,416.05,13918157,5797023566
28-Jul-17,413.05,415.5,408.2,413.3,1748552,720403360.2
31-Jul-17,415,421.45,410,418.95,2662076,1108616650
01-Aug-17,420.15,423,413.75,417.05,2206614,921944294.1
02-Aug-17,420.85,422.65,412.75,415.85,1978308,823999376.8
03-Aug-17,415.95,425.1,413.25,424.2,2535067,1062347996
04-Aug-17,423.35,423.35,411.6,420.9,2707432,1127359732
07-Aug-17,420.85,422.6,416.45,417.45,1170962,490925294.7
08-Aug-17,417.5,425,414.1,417.8,1797460,751896930
09-Aug-17,418.95,418.95,412,416.05,1226554,508902552.8
10-Aug-17,415.1,420.5,412.3,416.25,1497110,623604366.8
11-Aug-17,412,418,410,414.55,2287991,947457238
14-Aug-17,413,414.45,405.15,408.55,2013666,825619536.2
16-Aug-17,407,411.1,403.75,407.75,3768547,1529347488
17-Aug-17,411,420,405.95,416.35,2958725,1227382302
18-Aug-17,413.95,422.4,412.75,421,2759975,1158912331
21-Aug-17,423.45,425.8,417.5,419.15,1870782,789537068.6
22-Aug-17,422.7,425,416.55,422.1,3115334,1310720838
23-Aug-17,424.25,434,424.2,431.9,4285266,1842858289
24-Aug-17,433,434.35,428,432.95,2499222,1077950212
28-Aug-17,434,438.15,430.2,434.4,2529369,1098747153
29-Aug-17,435.5,435.5,427.35,428.1,1894924,813421375.9
30-Aug-17,431.5,431.7,427.5,429,2153282,924796215.9
31-Aug-17,431.8,431.8,424.15,427.7,7131194,3044364534
01-Sep-17,430,430.45,421.2,422.55,1799076,761701487.1
04-Sep-17,423,424.95,413.7,416.4,1270036,529444573
05-Sep-17,414.1,414.9,397.9,406.5,6492726,2625902004
06-Sep-17,401.55,405.55,401.55,402.5,1860455,750520539.5
07-Sep-17,402.6,407.45,395.05,397.3,2381502,956022147.6
08-Sep-17,397.9,404.85,396.6,403.5,1814900,728425631.6
11-Sep-17,407,407.4,398.5,402.95,1452972,583977173
12-Sep-17,407,407,398,405.2,2328047,935517868.6
13-Sep-17,407.4,407.7,399.8,401.65,1692304,683958151.3
14-Sep-17,406.5,406.5,397,398.9,1502692,601979140
15-Sep-17,400,402.95,393.35,396,4812148,1911909413
18-Sep-17,399,401.25,395.2,396.65,1180053,468864510.9
19-Sep-17,399,399,390.6,394.8,994791,392298404.9
20-Sep-17,371,398.9,371,396.85,10616328,4154686515
21-Sep-17,392,402.4,389.75,400.1,5909612,2333085433
22-Sep-17,398,400.95,391.25,395.35,4752999,1885884258
25-Sep-17,396.9,396.9,387.4,389.75,2705831,1056500057
26-Sep-17,387.25,392.4,383.05,387.35,3788116,1461268163
27-Sep-17,387.95,390,384.3,385.95,2446169,944071741.2
28-Sep-17,387.5,388.9,377.5,382.05,14570752,5540339698
29-Sep-17,381.95,391.85,379.15,389.45,4810172,1860231819
03-Oct-17,392,392.9,383,384.65,1660624,646427246.5
04-Oct-17,386,386.55,376.1,377.15,2828962,1071204736
05-Oct-17,376.75,380.65,373.15,377.7,3038456,1142982120
06-Oct-17,378.2,383.55,378.2,382.3,960608,365923586.9
09-Oct-17,380.4,381.6,377.55,378.95,1074428,407390967
10-Oct-17,379.45,387.55,375,384.6,1353878,514878752.8
11-Oct-17,386.2,406.4,386,403.55,7006526,2801070470
12-Oct-17,403.2,404.8,395.7,400.25,3626106,1449585515
13-Oct-17,430,437,420.8,430.9,41421808,17755889052
16-Oct-17,432.2,457.8,432.2,453.3,19057174,8496674150
17-Oct-17,456,469.35,455.1,465.95,16983113,7836141629
18-Oct-17,468,469,457.5,461.95,8125615,3752430912
19-Oct-17,465,477.8,463.5,473.75,2384933,1125318682
23-Oct-17,475,501.4,475,497.35,26645509,13131803683
24-Oct-17,493.65,504.7,493.65,502.05,15904316,7954836848
25-Oct-17,502.9,518,493.9,515.75,9085464,4601200427
26-Oct-17,511.6,519.35,502.45,511.3,9942611,5076305403
27-Oct-17,511.6,511.7,483,485.3,8025079,3940894563
30-Oct-17,490.5,497.7,486.05,492.9,6499242,3197604507
31-Oct-17,490,503.4,486.7,497.2,11437618,5659016101
01-Nov-17,518.5,544.7,510,539.1,32182374,17129167380
02-Nov-17,544.95,548.55,530.6,543.2,9870544,5317554024
03-Nov-17,543.2,564.8,537.3,541.25,16340958,9026024179
06-Nov-17,539.9,544.6,527.15,532.55,7476786,4006965210
07-Nov-17,535.9,536.6,512.1,514.35,6358001,3327706285
08-Nov-17,496,509,483.1,495.3,45366234,22365352323
09-Nov-17,502.25,508,495.3,504.25,9896380,4953207123
10-Nov-17,507,511.75,496.6,503.45,9452105,4763806634
